[0.00s - 1.70s]:  Architekt Prazdnoty,
[1.70s - 3.70s]:  a New Berlin Story.
[4.60s - 6.10s]:  Ruda 50.
[6.40s - 11.00s]:  Neonové prstence nového berli napulzovali v ritmu binařního desťě,
[11.00s - 15.00s]:  ale Ruda Miller stál na strzeše svého posledního projektu,
[15.00s - 18.00s]:  700 metrového mrakodrapu ídžis
[18.00s - 20.00s]:  a dival se opačným směrem.
[20.80s - 24.00s]:  Tam, kde končila atmosfériť káku pole města
[24.00s - 28.00s]:  a zacinali sirové, neurokontaminovane je hory stareho světa.
[29.00s - 30.00s]:  Ruda byli jiný.
[31.00s - 34.00s]:  V eřek, kdy budovy navrhovali kwantové algoritmy,
[34.00s - 37.00s]:  on stále kreslil první liny je ručně,
[37.00s - 41.00s]:  implantovaným stajlusem přímo do své zrakové kůry.
[41.00s - 44.00s]:  Jého mrakodrapy nebyli jen stavby,
[44.00s - 46.00s]:  byli to obří chladiče promegasíť,
[46.00s - 50.00s]:  tektonické chrámi z uhlíkových vláken a chromu.
[50.00s - 54.00s]:  A stejně dívný jako jeho architektur a byl i jeho život.
[55.00s - 57.00s]:  Zatím, co ostatní korporátní elity
[57.00s - 62.00s]:  trávili čas v polevce virtuálního hedonizmu Ruda byhal.
[62.00s - 64.00s]:  Nebyhal na trena žérech.
[64.00s - 68.00s]:  Byhal maratony v toksických zónách, bezkyslíkové masky,
[68.00s - 71.00s]:  jen z upraveními kibernetickými plícemi,
[71.00s - 74.00s]:  které filtrovali popílek a težkej kovy.
[74.00s - 78.00s]:  Pravydelně testoval limity svého biomechanického těla
[78.00s - 82.00s]:  a pak uprostřed nejvědšího stavebního bůmů století
[82.00s - 83.00s]:  prostě odešel.
[84.00s - 86.00s]:  Měsíc mimo sít.
[86.00s - 90.00s]:  Odpojují neurolink, lokalní vychledávání vypnuto
[90.00s - 95.00s]:  z pouštím autonomní režim, oznámil chladní hlas věho hlavě.
[95.00s - 99.00s]:  Ruda Miller nechal limuzínu na hranici perimeteru
[99.00s - 101.00s]:  a vstoupil do zakázaných hor.
[101.00s - 104.00s]:  Żádné drony, žádné satelitní sledování,
[104.00s - 107.00s]:  žádné záloha na klaudu.
[107.00s - 110.00s]:  Prosbitek světa prostě přestal existovat.
[110.00s - 114.00s]:  V korporátních kruzích se šeptalo honorvovém zhroucení
[114.00s - 118.00s]:  jiní tvrdili, že hledá ložiska vzácných mineralů
[118.00s - 119.00s]:  pro své megastruktury.
[119.00s - 121.00s]:  Pravda byla fascinujcí.
[121.00s - 124.00s]:  Ruda v horeách neběhal pro zdraví.
[124.00s - 127.00s]:  Běhal, aby útekl hluku lickůlických myšlenek,
[127.00s - 131.00s]:  které globalní sít neustále půmpovala do vzduchu.
[131.00s - 136.00s]:  Kilometr za kilometrém, v mrazu a samotě, jeho procesorí chladli.
[137.00s - 141.00s]:  V hlubokých skalních soutěskách nacházel statický klit.
[141.00s - 144.00s]:  Občas se zastavil, pohladil chladnou žulu
[144.00s - 149.00s]:  a do své vnitřní pamětí si ukládal geologické struktury.
[149.00s - 154.00s]:  Tytov zorce pak promítal do organických křivek svých mrkodrapů.
[154.00s - 158.00s]:  Podle mnohých stál za jeho genialitou právě tento měsíc
[158.00s - 161.00s]:  absolutního digitalního půstu.
[162.00s - 164.00s]:  Po přesně 30-ty dnech se vrátyl.
[164.00s - 168.00s]:  Špinaví, snapůl vybytími bateríjemi v kiberbřílih
[168.00s - 173.00s]:  ale s očíma, ve kterých svítil kod pro novou generacím něst.
[173.00s - 175.00s]:  Poslední záhada.
[175.00s - 180.00s]:  Od 10-ky let později byl Ruda Miller živoucí legendou.
[180.00s - 185.00s]:  Dosáhl věku sto let, což v té době díky pokročile by o regeneraci,
[185.00s - 189.00s]:  nebylo neobvikle, ale učlo věka z tak brutálním životním stylem
[189.00s - 192.00s]:  to hraníčilo se zázrakem.
[192.00s - 196.00s]:  Jeho tělo bylo spadisátí procent trořeno kibernetickými implantáty
[196.00s - 200.00s]:  ze stare školi, které už nikdo neuměl opravit.
[200.00s - 203.00s]:  Jeho smrt všakšokovala celý svět,
[203.00s - 207.00s]:  a dodnes zůstáva největší záhadov novego berlína.
[207.00s - 211.00s]:  Našliho věho soukromém penthouse na vrcholu ídžis.
[211.00s - 216.00s]:  Seděl ve svém křesle, na očích měl své staré poškrabane kiberbříle
